ID,V_UID,Vendor,Tracer_Family,Tracer_Model,Tracer_Cat_No,Voltage,Zone,Gas_Group,T_Rating,A_Coeff,B_Coeff,C_Coeff,Maint_T,Max_Op_T,Min_Installation_T,Max_Exp_T_On,Max_Exp_T_Off,Power_at_Startup_T,Ohm_per_km,Res_corrFactor_Mica
526,Krus-Zapad^2M^CK-MI-2M.150,Krus-Zapad,MI,2M,CK-MI-2M.150,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.0005,148.5,340,340,-50,425,425,0,150,1.2
149,nVent^MI^HAF2M36K,nVent,Constant Wattage,MI,HAF2M36K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,35935.2,550,550,-60,700,700,0,36000,1.2
150,nVent^MI^HAF2M29.5K,nVent,Constant Wattage,MI,HAF2M29.5K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,29446.9,550,550,-60,700,700,0,29500,1.2
151,nVent^MI^HAF2M24.5K,nVent,Constant Wattage,MI,HAF2M24.5K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,24455.9,550,550,-60,700,700,0,24500,1.2
152,nVent^MI^HAA2M19.7K,nVent,Constant Wattage,MI,HAA2M19.7K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,19664.54,550,550,-60,700,700,0,19700,1.2
153,nVent^MI^HAA2M13.2K,nVent,Constant Wattage,MI,HAA2M13.2K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,13176.24,550,550,-60,700,700,0,13200,1.2
154,nVent^MI^HAA2M9000,nVent,Constant Wattage,MI,HAA2M9000,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,8983.8,550,550,-60,700,700,0,9000,1.2
155,nVent^MI^HAA2M6600,nVent,Constant Wattage,MI,HAA2M6600,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,6588.12,550,550,-60,700,700,0,6600,1.2
156,nVent^MI^HAA2M5600,nVent,Constant Wattage,MI,HAA2M5600,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,5589.92,550,550,-60,700,700,0,5600,1.2
157,nVent^MI^HAB2M3750,nVent,Constant Wattage,MI,HAB2M3750,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00004,3747,550,550,-60,700,700,0,3750,1.2
158,nVent^MI^HAB2M2300,nVent,Constant Wattage,MI,HAB2M2300,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00004,2298.16,550,550,-60,700,700,0,2300,1.2
159,nVent^MI^HAQ2M1560,nVent,Constant Wattage,MI,HAQ2M1560,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,1544.4,550,550,-60,700,700,0,1560,1.2
160,nVent^MI^HAQ2M1240,nVent,Constant Wattage,MI,HAQ2M1240,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,1227.6,550,550,-60,700,700,0,1240,1.2
161,nVent^MI^HAQ2M965,nVent,Constant Wattage,MI,HAQ2M965,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,955.35,550,550,-60,700,700,0,965,1.2
162,nVent^MI^HAQ2M660,nVent,Constant Wattage,MI,HAQ2M660,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,653.4,550,550,-60,700,700,0,660,1.2
163,nVent^MI^HAQ2M495,nVent,Constant Wattage,MI,HAQ2M495,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,490.05,550,550,-60,700,700,0,495,1.2
164,nVent^MI^HAQ2M330,nVent,Constant Wattage,MI,HAQ2M330,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,326.7,550,550,-60,700,700,0,330,1.2
165,nVent^MI^HAP2M240,nVent,Constant Wattage,MI,HAP2M240,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,233.76,550,550,-60,700,700,0,240,1.2
166,nVent^MI^HAP2M190,nVent,Constant Wattage,MI,HAP2M190,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,185.06,550,550,-60,700,700,0,190,1.2
167,nVent^MI^HAP2M150,nVent,Constant Wattage,MI,HAP2M150,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,146.1,550,550,-60,700,700,0,150,1.2
168,nVent^MI^HAC2M105,nVent,Constant Wattage,MI,HAC2M105,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,96.81,550,550,-60,700,700,0,105,1.2
169,nVent^MI^HAF2N36K,nVent,Constant Wattage,MI,HAF2N36K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,35935.2,550,550,-60,700,700,0,36000,1.2
170,nVent^MI^HAF2N29.5K,nVent,Constant Wattage,MI,HAF2N29.5K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,29446.9,550,550,-60,700,700,0,29500,1.2
171,nVent^MI^HAF2N19.7K,nVent,Constant Wattage,MI,HAF2N19.7K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,19664.54,550,550,-60,700,700,0,19700,1.2
172,nVent^MI^HAA2N13.6K,nVent,Constant Wattage,MI,HAA2N13.6K,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,13575.52,550,550,-60,700,700,0,13600,1.2
173,nVent^MI^HAF2N6600,nVent,Constant Wattage,MI,HAF2N6600,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00009,6588.12,550,550,-60,700,700,0,6600,1.2
174,nVent^MI^HAT2N3750,nVent,Constant Wattage,MI,HAT2N3750,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.00004,3747,550,550,-60,700,700,0,3750,1.2
175,nVent^MI^HAB2N2300,nVent,Constant Wattage,MI,HAB2N2300,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,2277,550,550,-60,700,700,0,2300,1.2
176,nVent^MI^HAQ2N1670,nVent,Constant Wattage,MI,HAQ2N1670,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,1653.3,550,550,-60,700,700,0,1670,1.2
177,nVent^MI^HAQ2N940,nVent,Constant Wattage,MI,HAQ2N940,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,930.6,550,550,-60,700,700,0,940,1.2
178,nVent^MI^HAQ2N660,nVent,Constant Wattage,MI,HAQ2N660,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,653.4,550,550,-60,700,700,0,660,1.2
179,nVent^MI^HAQ2N495,nVent,Constant Wattage,MI,HAQ2N495,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0005,490.05,550,550,-60,700,700,0,495,1.2
180,nVent^MI^HAQ2N330,nVent,Constant Wattage,MI,HAQ2N330,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,321.42,550,550,-60,700,700,0,330,1.2
181,nVent^MI^HAP2N255,nVent,Constant Wattage,MI,HAP2N255,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,248.37,550,550,-60,700,700,0,255,1.2
182,nVent^MI^HAP2N185,nVent,Constant Wattage,MI,HAP2N185,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,180.19,550,550,-60,700,700,0,185,1.2
183,nVent^MI^HAP2N130,nVent,Constant Wattage,MI,HAP2N130,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0013,126.62,550,550,-60,700,700,0,130,1.2
184,nVent^MI^HAP2N92,nVent,Constant Wattage,MI,HAP2N92,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,84.824,550,550,-60,700,700,0,92,1.2
185,nVent^MI^HAC2N66,nVent,Constant Wattage,MI,HAC2N66,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,60.852,550,550,-60,700,700,0,66,1.2
186,nVent^MI^HAC2N43,nVent,Constant Wattage,MI,HAC2N43,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,39.646,550,550,-60,700,700,0,43,1.2
187,nVent^MI^HAC2N27,nVent,Constant Wattage,MI,HAC2N27,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,24.894,550,550,-60,700,700,0,27,1.2
188,nVent^MI^HAC2N17,nVent,Constant Wattage,MI,HAC2N17,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,15.674,550,550,-60,700,700,0,17,1.2
189,nVent^MI^HAC2N10.5,nVent,Constant Wattage,MI,HAC2N10.5,300,"Zone1, Zone2",II 2GD Ex e II ,T6 to T1 Ex tD,0,0.0039,9.4044,550,550,-60,700,700,0,10.2,1.2
458,Krus-Zapad^MA^CK-MI-1M.A/560,Krus-Zapad,MI,MA,CK-MI-1M.A/560,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.0013,545.44,250,250,-50,700,700,0,560,1.2
459,Krus-Zapad^MA^CK-MI-1M.A/490,Krus-Zapad,MI,MA,CK-MI-1M.A/490,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.0039,451.78,250,250,-50,700,700,0,490,1.2
460,Krus-Zapad^MA^CK-MI-1M.A/400,Krus-Zapad,MI,MA,CK-MI-1M.A/400,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.003406667,372.7466667,250,250,-50,700,700,0,400,1.2
461,Krus-Zapad^MA^CK-MI-1M.A/330,Krus-Zapad,MI,MA,CK-MI-1M.A/330,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.003960952,303.8577143,250,250,-50,700,700,0,330,1.2
462,Krus-Zapad^MA^CK-MI-1M.A/260,Krus-Zapad,MI,MA,CK-MI-1M.A/260,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.004515238,236.5207619,250,250,-50,700,700,0,260,1.2
463,Krus-Zapad^MA^CK-MI-1M.A/250,Krus-Zapad,MI,MA,CK-MI-1M.A/250,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.005069524,224.652381,250,250,-50,700,700,0,250,1.2
464,Krus-Zapad^MA^CK-MI-1M.A/230,Krus-Zapad,MI,MA,CK-MI-1M.A/230,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00562381,204.1304762,250,250,-50,700,700,0,230,1.2
465,Krus-Zapad^MA^CK-MI-1M.A/200,Krus-Zapad,MI,MA,CK-MI-1M.A/200,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.006178095,175.287619,250,250,-50,700,700,0,200,1.2
466,Krus-Zapad^MA^CK-MI-1M.A/160,Krus-Zapad,MI,MA,CK-MI-1M.A/160,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.006732381,138.456381,250,250,-50,700,700,0,160,1.2
